Category,CommonNames,Abundance,Order,ParkName
Mammal,Moose,1,Artiodactyla,Acadia National Park
Mammal,"Northern White-Tailed Deer, Virginia Deer White-Tailed Deer",5,Artiodactyla,Acadia National Park
Mammal,"Coyote, Eastern Coyote",4,Carnivora,Acadia National Park
Mammal,"Eastern Timber Wolf, Gray Wolf, Timber Wolf",5,Carnivora,Acadia National Park
Mammal,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox",4,Carnivora,Acadia National Park
Mammal,Canada Lynx,5,Carnivora,Acadia National Park
Mammal,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",5,Carnivora,Acadia National Park
Mammal,"Eastern Skunk, Polecat, Striped Skunk",5,Carnivora,Acadia National Park
Mammal,"Otter, River Otter",4,Carnivora,Acadia National Park
Mammal,"Blackcat, Fisher, Pekan",1,Carnivora,Acadia National Park
Mammal,Weasel,5,Carnivora,Acadia National Park
Mammal,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-Tailed Weasel",2,Carnivora,Acadia National Park
Mammal,"Long-Tailed Weasel, New York Weasel, Northern Long-Tailed Weasel",2,Carnivora,Acadia National Park
Mammal,"Ancient Sea Mink, Big Sea Mink, Sea Mink",5,Carnivora,Acadia National Park
Mammal,"American Mink, Mink",2,Carnivora,Acadia National Park
Mammal,Walrus,5,Carnivora,Acadia National Park
Mammal,Gray Seal,5,Carnivora,Acadia National Park
Mammal,"Common Seal, Hair Seal, Harbor Seal",5,Carnivora,Acadia National Park
Mammal,"Common Raccoon, Raccoon",4,Carnivora,Acadia National Park
Mammal,Black Bear,5,Carnivora,Acadia National Park
Mammal,"Big Brown Bat, Common Brown Bat",2,Chiroptera,Acadia National Park
Mammal,Silver-Haired Bat,5,Chiroptera,Acadia National Park
Mammal,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat",5,Chiroptera,Acadia National Park
Mammal,Hoary Bat,5,Chiroptera,Acadia National Park
Mammal,"Keen's Myotis, Northern Long-Eared Bat, Northern Myotis, Say's Bat",4,Chiroptera,Acadia National Park
Mammal,"Eastern Small-Footed Myotis, Small-Footed Myotis",5,Chiroptera,Acadia National Park
Mammal,"Little Brown Bat, Little Brown Myotis",4,Chiroptera,Acadia National Park
Mammal,"Eastern Pipistrelle, Northern Georgian Bat",5,Chiroptera,Acadia National Park
Mammal,"Snowshoe Hare, Varying Hare",4,Lagomorpha,Acadia National Park
Mammal,"American Beaver, Beaver, Canadian Beaver",4,Rodentia,Acadia National Park
Mammal,"Boreal Redback Vole, Red-Backed Mouse, Red-Backed Vole, Southern Red-Backed Vole, White-Mountain Red-Backed Mouse",4,Rodentia,Acadia National Park
Mammal,"Field Mouse, Meadow Mouse, Meadow Vole",5,Rodentia,Acadia National Park
Mammal,"Common Muskrat, Muskrat, Musquash, Water Rat",5,Rodentia,Acadia National Park
Mammal,White-Footed Mouse,4,Rodentia,Acadia National Park
Mammal,Deer Mouse,5,Rodentia,Acadia National Park
Mammal,"Cooper Lemming Mouse, Southern Bog Lemming",1,Rodentia,Acadia National Park
Mammal,Woodland Jumping Mouse,1,Rodentia,Acadia National Park
Mammal,"Hudson Bay Jumping Mouse, Kangaroo Mouse, Meadow Jumping Mouse",2,Rodentia,Acadia National Park
Mammal,"Hedgehog, Porcupine",4,Rodentia,Acadia National Park
Mammal,House Mouse,5,Rodentia,Acadia National Park
Mammal,"Brown Rat, Norway Rat",5,Rodentia,Acadia National Park
Mammal,Glaucomys Sp.,5,Rodentia,Acadia National Park
Mammal,"Mearns Flying Squirrel, Northern Flying Squirrel",4,Rodentia,Acadia National Park
Mammal,Southern Flying Squirrel,5,Rodentia,Acadia National Park
Mammal,"Groundhog, New England Woodchuck, Woodchuck",4,Rodentia,Acadia National Park
Mammal,"Eastern Gray Squirrel, Gray Squirrel, Northern Gray Squirrel",4,Rodentia,Acadia National Park
Mammal,"Northeastern Chipmunk, Striped Squirrel, Eastern Chipmunk, Ground Squirrel, Lyster Chipmunk",5,Rodentia,Acadia National Park
Mammal,"Chickaree, Red Squirrel",4,Rodentia,Acadia National Park
Mammal,"Mole Shrew, Northern Short-Tailed Shrew, Short-Tailed Shrew",2,Soricomorpha,Acadia National Park
Mammal,Masked Shrew,5,Soricomorpha,Acadia National Park
Mammal,"Northern Smoky Shrew, Smoky Shrew",2,Soricomorpha,Acadia National Park
Mammal,"Hoy's Pygmy Shrew, Pygmy Shrew, Thompson's Pygmy Shrew",4,Soricomorpha,Acadia National Park
Mammal,"Northern Water Shrew, Water Shrew, White-Lipped Water Shrew",2,Soricomorpha,Acadia National Park
Mammal,Star-Nosed Mole,4,Soricomorpha,Acadia National Park
Mammal,"Brewer's Mole, Hairy-Tailed Mole",5,Soricomorpha,Acadia National Park
Mammal,Pronghorn,2,Artiodactyla,Arches National Park
Mammal,Bighorn Sheep,2,Artiodactyla,Arches National Park
Mammal,Elk,5,Artiodactyla,Arches National Park
Mammal,Mule Deer,2,Artiodactyla,Arches National Park
Mammal,Coyote,2,Carnivora,Arches National Park
Mammal,Common Gray Fox,2,Carnivora,Arches National Park
Mammal,Kit Fox,5,Carnivora,Arches National Park
Mammal,Red Fox,1,Carnivora,Arches National Park
Mammal,Bobcat,5,Carnivora,Arches National Park
Mammal,Mountain Lion,1,Carnivora,Arches National Park
Mammal,Striped Skunk,2,Carnivora,Arches National Park
Mammal,Western Spotted Skunk,5,Carnivora,Arches National Park
Mammal,Northern River Otter,5,Carnivora,Arches National Park
Mammal,Long-Tailed Weasel,5,Carnivora,Arches National Park
Mammal,American Mink,5,Carnivora,Arches National Park
Mammal,American Badger,1,Carnivora,Arches National Park
Mammal,Ringtail,2,Carnivora,Arches National Park
Mammal,Northern Raccoon,2,Carnivora,Arches National Park
Mammal,American Black Bear,1,Carnivora,Arches National Park
Mammal,Big Free-Tailed Bat,2,Chiroptera,Arches National Park
Mammal,Brazilian Free-Tailed Bat,2,Chiroptera,Arches National Park
Mammal,Pallid Bat,5,Chiroptera,Arches National Park
Mammal,Townsend's Big-Eared Bat,5,Chiroptera,Arches National Park
Mammal,Big Brown Bat,5,Chiroptera,Arches National Park
Mammal,Spotted Bat,5,Chiroptera,Arches National Park
Mammal,Allen's Big-Eared Bat,5,Chiroptera,Arches National Park
Mammal,Silver-Haired Bat,5,Chiroptera,Arches National Park
Mammal,Hoary Bat,2,Chiroptera,Arches National Park
Mammal,California Myotis,4,Chiroptera,Arches National Park
Mammal,Western Small-Footed Myotis,5,Chiroptera,Arches National Park
Mammal,Long-Eared Myotis,5,Chiroptera,Arches National Park
Mammal,Little Brown Myotis,5,Chiroptera,Arches National Park
Mammal,Fringed Myotis,5,Chiroptera,Arches National Park
Mammal,Long-Legged Myotis,5,Chiroptera,Arches National Park
Mammal,Yuma Myotis,2,Chiroptera,Arches National Park
Mammal,Western Pipistrelle,4,Chiroptera,Arches National Park
Mammal,Black-Tailed Jackrabbit,2,Lagomorpha,Arches National Park
Mammal,Desert Cottontail,4,Lagomorpha,Arches National Park
Mammal,American Beaver,2,Rodentia,Arches National Park
Mammal,Bushy-Tailed Woodrat,2,Rodentia,Arches National Park
Mammal,Desert Woodrat,5,Rodentia,Arches National Park
Mammal,Common Muskrat,1,Rodentia,Arches National Park
Mammal,Northern Grasshopper Mouse,2,Rodentia,Arches National Park
Mammal,Brush Mouse,2,Rodentia,Arches National Park
Mammal,Canyon Mouse,4,Rodentia,Arches National Park
Mammal,Deer Mouse,4,Rodentia,Arches National Park
Mammal,Pinon Mouse,2,Rodentia,Arches National Park
Mammal,Western Harvest Mouse,2,Rodentia,Arches National Park
Mammal,North American Porcupine,2,Rodentia,Arches National Park
Mammal,Botta's Pocket Gopher,2,Rodentia,Arches National Park
Mammal,Ord's Kangaroo Rat,2,Rodentia,Arches National Park
Mammal,Plains Pocket Mouse,2,Rodentia,Arches National Park
Mammal,House Mouse,5,Rodentia,Arches National Park
Mammal,White-Tailed Antelope Squirrel,4,Rodentia,Arches National Park
Mammal,White-Tailed Prairie Dog,2,Rodentia,Arches National Park
Mammal,Hopi Chipmunk,4,Rodentia,Arches National Park
Mammal,Rock Squirrel,4,Rodentia,Arches National Park
Mammal,Crawford's Desert Shrew,5,Soricomorpha,Arches National Park
Mammal,Merriam's Shrew,5,Soricomorpha,Arches National Park
Mammal,"Pronghorn, Pronghorn",4,Artiodactyla,Badlands National Park
Mammal,"American Bison, American Bison, Bison",4,Artiodactyla,Badlands National Park
Mammal,Bighorn Sheep,4,Artiodactyla,Badlands National Park
Mammal,"Elk, Red Deer (See Comments), Wapiti, Wapiti Or Elk",5,Artiodactyla,Badlands National Park
Mammal,Mule Deer,4,Artiodactyla,Badlands National Park
Mammal,"White-Tailed Deer, White-Tailed Deer",4,Artiodactyla,Badlands National Park
Mammal,"Coyote, Coyote Scat",4,Carnivora,Badlands National Park
Mammal,"Common Gray Fox, Gray Fox",5,Carnivora,Badlands National Park
Mammal,Swift Fox,2,Carnivora,Badlands National Park
Mammal,Red Fox,2,Carnivora,Badlands National Park
Mammal,Bobcat,2,Carnivora,Badlands National Park
Mammal,Mountain Lion,1,Carnivora,Badlands National Park
Mammal,Striped Skunk,2,Carnivora,Badlands National Park
Mammal,Spotted Skunk,5,Carnivora,Badlands National Park
Mammal,"Common Otter, North American River Otter, Northern River Otter, River Otter",5,Carnivora,Badlands National Park
Mammal,"Short-Tailed Weasel, Weasel",5,Carnivora,Badlands National Park
Mammal,Long-Tailed Weasel,5,Carnivora,Badlands National Park
Mammal,"Ferret, Black-Footed",2,Carnivora,Badlands National Park
Mammal,"Weasel, Least",5,Carnivora,Badlands National Park
Mammal,Badger,2,Carnivora,Badlands National Park
Mammal,Raccoon,4,Carnivora,Badlands National Park
Mammal,"Mule-Eared Bat, Pacific Townsend's Big-Eared Bat, Townsend's Big-Eared Bat, Townsend's Big-Eared Bat, Western Big-Eared Bat, Western Long-Eared Bat, Western Lump-Nosed Bat",2,Chiroptera,Badlands National Park
Mammal,"Big Brown Bat, Big Brown Bat",4,Chiroptera,Badlands National Park
Mammal,"Bat, Silver-Haired",5,Chiroptera,Badlands National Park
Mammal,"Hoary Bat, Hoary Bat",2,Chiroptera,Badlands National Park
Mammal,"Bat, Small-Footed, Western Small-Footed",4,Chiroptera,Badlands National Park
Mammal,Northern Myotis,5,Chiroptera,Badlands National Park
Mammal,"Bat, Little Brown, Little Brown Myotis",2,Chiroptera,Badlands National Park
Mammal,Northern Long-Eared Bat,2,Chiroptera,Badlands National Park
Mammal,None,2,Chiroptera,Badlands National Park
Mammal,"Long-Legged Myotis, Long-Legged Myotis",2,Chiroptera,Badlands National Park
Mammal,"Black-Tailed Jack Rabbit, Black-Tailed Jackrabbit",5,Lagomorpha,Badlands National Park
Mammal,White-Tailed Jackrabbit,5,Lagomorpha,Badlands National Park
Mammal,Desert Cottontail,5,Lagomorpha,Badlands National Park
Mammal,Eastern Cottontail,5,Lagomorpha,Badlands National Park
Mammal,"Feral Horse, Horse",5,Perissodactyla,Badlands National Park
Mammal,Beaver,5,Rodentia,Badlands National Park
Mammal,Prairie Vole,2,Rodentia,Badlands National Park
Mammal,Meadow Vole,5,Rodentia,Badlands National Park
Mammal,"Woodrat, Bushy-Tailed",5,Rodentia,Badlands National Park
Mammal,Muskrat,5,Rodentia,Badlands National Park
Mammal,"Mouse, Northern Grasshopper",5,Rodentia,Badlands National Park
Mammal,"Mouse, White-Footed",4,Rodentia,Badlands National Park
Mammal,"Mouse, Deer",4,Rodentia,Badlands National Park
Mammal,Western Harvest Mouse,5,Rodentia,Badlands National Park
Mammal,Plains Harvest Mouse,5,Rodentia,Badlands National Park
Mammal,Meadow Jumping Mouse,5,Rodentia,Badlands National Park
Mammal,Porcupine,5,Rodentia,Badlands National Park
Mammal,Plains Pocket Gopher,5,Rodentia,Badlands National Park
Mammal,Northern Pocket Gopher,5,Rodentia,Badlands National Park
Mammal,Hispid Mouse,5,Rodentia,Badlands National Park
Mammal,"Rat, Kangaroo",5,Rodentia,Badlands National Park
Mammal,Ord's Kangaroo Rat,5,Rodentia,Badlands National Park
Mammal,Olive-Backed Pocket Mouse,5,Rodentia,Badlands National Park
Mammal,Plain Pocket Mouse,5,Rodentia,Badlands National Park
Mammal,"Mouse, House",5,Rodentia,Badlands National Park
Mammal,"Brown Rat, Norway Rat",5,Rodentia,Badlands National Park
Mammal,"Arizona Black-Tailed Prairie Dog, Black-Tailed Prairie Dog",4,Rodentia,Badlands National Park
Mammal,"Eastern Fox Squirrel, Fox Squirrel",5,Rodentia,Badlands National Park
Mammal,Spotted Ground Squirrel,5,Rodentia,Badlands National Park
Mammal,13 Lined Ground Squirrel,5,Rodentia,Badlands National Park
Mammal,"Chipmunk, Least",5,Rodentia,Badlands National Park
Mammal,"Cinereus Shrew, Common Shrew, Masked Shrew",5,Soricomorpha,Badlands National Park
Mammal,"Hayden's Shrew, Prairie Shrew",5,Soricomorpha,Badlands National Park
Mammal,Pronghorn,5,Artiodactyla,Big Bend National Park
Mammal,Barbary Sheep Or Aoudad,5,Artiodactyla,Big Bend National Park
Mammal,American Bison,5,Artiodactyla,Big Bend National Park
Mammal,Bighorn Sheep,1,Artiodactyla,Big Bend National Park
Mammal,Elk,1,Artiodactyla,Big Bend National Park
Mammal,Mule Deer,5,Artiodactyla,Big Bend National Park
Mammal,White-Tailed Deer,5,Artiodactyla,Big Bend National Park
Mammal,Feral Pig,5,Artiodactyla,Big Bend National Park
Mammal,Collared Peccary,5,Artiodactyla,Big Bend National Park
Mammal,Coyote,5,Carnivora,Big Bend National Park
Mammal,Gray Wolf,5,Carnivora,Big Bend National Park
Mammal,Common Gray Fox,5,Carnivora,Big Bend National Park
Mammal,Kit Fox,5,Carnivora,Big Bend National Park
Mammal,Jaguarundi,5,Carnivora,Big Bend National Park
Mammal,Ocelot,5,Carnivora,Big Bend National Park
Mammal,Bobcat,5,Carnivora,Big Bend National Park
Mammal,Mountain Lion,5,Carnivora,Big Bend National Park
Mammal,White-Backed Hog-Nosed Skunk,5,Carnivora,Big Bend National Park
Mammal,Hooded Skunk,1,Carnivora,Big Bend National Park
Mammal,Striped Skunk,5,Carnivora,Big Bend National Park
Mammal,Western Spotted Skunk,5,Carnivora,Big Bend National Park
Mammal,Long-Tailed Weasel,5,Carnivora,Big Bend National Park
Mammal,American Badger,5,Carnivora,Big Bend National Park
Mammal,Ringtail,5,Carnivora,Big Bend National Park
Mammal,White-Nosed Coati,1,Carnivora,Big Bend National Park
Mammal,Northern Raccoon,5,Carnivora,Big Bend National Park
Mammal,American Black Bear,5,Carnivora,Big Bend National Park
Mammal,Western Bonneted Bat,5,Chiroptera,Big Bend National Park
Mammal,Pocketed Free-Tailed Bat,5,Chiroptera,Big Bend National Park
Mammal,Big Free-Tailed Bat,5,Chiroptera,Big Bend National Park
Mammal,Brazilian Free-Tailed Bat,5,Chiroptera,Big Bend National Park
Mammal,Ghost-Faced Bat,5,Chiroptera,Big Bend National Park
Mammal,Mexican Long-Nosed Bat,5,Chiroptera,Big Bend National Park
Mammal,Pallid Bat,5,Chiroptera,Big Bend National Park
Mammal,Townsend's Big-Eared Bat,5,Chiroptera,Big Bend National Park
Mammal,Big Brown Bat,5,Chiroptera,Big Bend National Park
Mammal,Spotted Bat,5,Chiroptera,Big Bend National Park
Mammal,Silver-Haired Bat,5,Chiroptera,Big Bend National Park
Mammal,Eastern Red Bat,5,Chiroptera,Big Bend National Park
Mammal,Hoary Bat,5,Chiroptera,Big Bend National Park
Mammal,Western Yellow Bat,5,Chiroptera,Big Bend National Park
Mammal,California Myotis,5,Chiroptera,Big Bend National Park
Mammal,Western Small-Footed Myotis,1,Chiroptera,Big Bend National Park
Mammal,Fringed Myotis,5,Chiroptera,Big Bend National Park
Mammal,Cave Myotis,5,Chiroptera,Big Bend National Park
Mammal,Long-Legged Myotis,5,Chiroptera,Big Bend National Park
Mammal,Yuma Myotis,5,Chiroptera,Big Bend National Park
Mammal,Western Pipistrelle,5,Chiroptera,Big Bend National Park
Mammal,Eastern Pipistrelle,5,Chiroptera,Big Bend National Park
Mammal,Common Opossum,5,Didelphimorphia,Big Bend National Park
Mammal,Virginia Opossum,5,Didelphimorphia,Big Bend National Park
Mammal,Black-Tailed Jackrabbit,5,Lagomorpha,Big Bend National Park
Mammal,Desert Cottontail,5,Lagomorpha,Big Bend National Park
Mammal,Eastern Cottontail,5,Lagomorpha,Big Bend National Park
Mammal,Davis Mountains Cottontail,5,Lagomorpha,Big Bend National Park
Mammal,American Beaver,5,Rodentia,Big Bend National Park
Mammal,Western White-Throated Woodrat,5,Rodentia,Big Bend National Park
Mammal,Mexican Woodrat,5,Rodentia,Big Bend National Park
Mammal,Southern Plains Woodrat,5,Rodentia,Big Bend National Park
Mammal,Common Muskrat,5,Rodentia,Big Bend National Park
Mammal,Mearns's Grasshopper Mouse,1,Rodentia,Big Bend National Park
Mammal,"Deer Mice, White-Footed Mice",5,Rodentia,Big Bend National Park
Mammal,Brush Mouse,5,Rodentia,Big Bend National Park
Mammal,Cactus Mouse,5,Rodentia,Big Bend National Park
Mammal,White-Footed Mouse,5,Rodentia,Big Bend National Park
Mammal,Deer Mouse,5,Rodentia,Big Bend National Park
Mammal,Northern Rock Mouse,5,Rodentia,Big Bend National Park
Mammal,White-Ankled Mouse,5,Rodentia,Big Bend National Park
Mammal,Fulvous Harvest Mouse,1,Rodentia,Big Bend National Park
Mammal,Western Harvest Mouse,5,Rodentia,Big Bend National Park
Mammal,Plains Harvest Mouse,1,Rodentia,Big Bend National Park
Mammal,Hispid Cotton Rat,5,Rodentia,Big Bend National Park
Mammal,Yellow-Nosed Cotton Rat,5,Rodentia,Big Bend National Park
Mammal,North American Porcupine,5,Rodentia,Big Bend National Park
Mammal,Yellow-Faced Pocket Gopher,5,Rodentia,Big Bend National Park
Mammal,Botta's Pocket Gopher,5,Rodentia,Big Bend National Park
Mammal,Chihuahuan Desert Pocket Mouse,5,Rodentia,Big Bend National Park
Mammal,Nelson's Pocket Mouse,5,Rodentia,Big Bend National Park
Mammal,Merriam's Kangaroo Rat,5,Rodentia,Big Bend National Park
Mammal,Ord's Kangaroo Rat,5,Rodentia,Big Bend National Park
Mammal,Silky Pocket Mouse,5,Rodentia,Big Bend National Park
Mammal,Merriam's Pocket Mouse,5,Rodentia,Big Bend National Park
Mammal,House Mouse,5,Rodentia,Big Bend National Park
Mammal,Nutria,5,Rodentia,Big Bend National Park
Mammal,Texas Antelope Squirrel,5,Rodentia,Big Bend National Park
Mammal,Mexican Ground Squirrel,1,Rodentia,Big Bend National Park
Mammal,Spotted Ground Squirrel,5,Rodentia,Big Bend National Park
Mammal,Rock Squirrel,5,Rodentia,Big Bend National Park
Mammal,Crawford's Desert Shrew,5,Soricomorpha,Big Bend National Park
Mammal,White-Tailed Deer,5,Artiodactyla,Biscayne National Park
Mammal,Common Gray Fox,5,Carnivora,Biscayne National Park
Mammal,Bobcat,5,Carnivora,Biscayne National Park
Mammal,Striped Skunk,5,Carnivora,Biscayne National Park
Mammal,Northern River Otter,5,Carnivora,Biscayne National Park
Mammal,Common Raccoon,5,Carnivora,Biscayne National Park
Mammal,None,5,Carnivora,Biscayne National Park
Mammal,"Black Right Whale, Black Whale, Right Whale",5,Cetacea,Biscayne National Park
Mammal,Sei Whale,5,Cetacea,Biscayne National Park
Mammal,Fin Whale,5,Cetacea,Biscayne National Park
Mammal,Humpback Whale,5,Cetacea,Biscayne National Park
Mammal,Bottle-Nosed Dolphin,5,Cetacea,Biscayne National Park
Mammal,Sperm Whale,5,Cetacea,Biscayne National Park
Mammal,Wagner's Mastiff Bat,5,Chiroptera,Biscayne National Park
Mammal,Brazilian Free-Tailed Bat,5,Chiroptera,Biscayne National Park
Mammal,Seminole Bat,5,Chiroptera,Biscayne National Park
Mammal,Virginia Opossum,5,Didelphimorphia,Biscayne National Park
Mammal,Marsh Rabbit,5,Lagomorpha,Biscayne National Park
Mammal,Key Largo Woodrat,5,Rodentia,Biscayne National Park
Mammal,Cotton Mouse,5,Rodentia,Biscayne National Park
Mammal,Hispid Cotton Rat,5,Rodentia,Biscayne National Park
Mammal,House Mouse,5,Rodentia,Biscayne National Park
Mammal,Black Rat,5,Rodentia,Biscayne National Park
Mammal,Southern Flying Squirrel,5,Rodentia,Biscayne National Park
Mammal,"Mexican Gray Squirrel, Mexican Red-Bellied Squirrel",5,Rodentia,Biscayne National Park
Mammal,Eastern Gray Squirrel,5,Rodentia,Biscayne National Park
Mammal,Manatee,5,Sirenia,Biscayne National Park
Mammal,Least Shrew,2,Soricomorpha,Biscayne National Park
Mammal,Kit Fox,5,Carnivora,Canyonlands National Park
Mammal,Red Fox,5,Carnivora,Canyonlands National Park
Mammal,Bobcat,1,Carnivora,Canyonlands National Park
Mammal,Pronghorn,5,Artiodactyla,Black Canyon of the Gunnison National Park
Mammal,Bighorn Sheep,2,Artiodactyla,Black Canyon of the Gunnison National Park
Mammal,Elk,5,Artiodactyla,Black Canyon of the Gunnison National Park
Mammal,Mule Deer,2,Artiodactyla,Black Canyon of the Gunnison National Park
Mammal,Coyote,2,Carnivora,Black Canyon of the Gunnison National Park
Mammal,Common Gray Fox,1,Carnivora,Black Canyon of the Gunnison National Park
Mammal,Red Fox,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,Bobcat,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,Mountain Lion,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,Striped Skunk,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,Western Spotted Skunk,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,Northern River Otter,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,Long-Tailed Weasel,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,American Mink,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,American Badger,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,Ringtail,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,Northern Raccoon,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,American Black Bear,5,Carnivora,Black Canyon of the Gunnison National Park
Mammal,Big Free-Tailed Bat,5,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Brazilian Free-Tailed Bat,5,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Pallid Bat,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Townsend's Big-Eared Bat,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Big Brown Bat,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Spotted Bat,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Silver-Haired Bat,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Hoary Bat,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,California Myotis,5,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Western Small-Footed Myotis,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Long-Eared Myotis,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Little Brown Myotis,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Fringed Myotis,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Long-Legged Myotis,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Yuma Myotis,2,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Western Pipistrelle,5,Chiroptera,Black Canyon of the Gunnison National Park
Mammal,Snowshoe Hare,5,Lagomorpha,Black Canyon of the Gunnison National Park
Mammal,White-Tailed Jackrabbit,2,Lagomorpha,Black Canyon of the Gunnison National Park
Mammal,Desert Cottontail,5,Lagomorpha,Black Canyon of the Gunnison National Park
Mammal,Mountain Cottontail,5,Lagomorpha,Black Canyon of the Gunnison National Park
Mammal,American Beaver,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Southern Red-Backed Vole,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Long-Tailed Vole,2,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Montane Vole,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Bushy-Tailed Woodrat,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Common Muskrat,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Brush Mouse,2,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Canyon Mouse,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Deer Mouse,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Pinon Mouse,2,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Western Harvest Mouse,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Western Jumping Mouse,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,North American Porcupine,2,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Northern Pocket Gopher,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,House Mouse,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Gunnison's Prairie Dog,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,White-Tailed Prairie Dog,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Yellow-Bellied Marmot,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Least Chipmunk,2,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Hopi Chipmunk,2,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Golden-Mantled Ground Squirrel,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Rock Squirrel,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Red Squirrel,5,Rodentia,Black Canyon of the Gunnison National Park
Mammal,Masked Shrew,5,Soricomorpha,Black Canyon of the Gunnison National Park
Mammal,Merriam's Shrew,5,Soricomorpha,Black Canyon of the Gunnison National Park
Mammal,Montane Shrew,5,Soricomorpha,Black Canyon of the Gunnison National Park
Mammal,Dwarf Shrew,5,Soricomorpha,Black Canyon of the Gunnison National Park
Mammal,American Water Shrew,5,Soricomorpha,Black Canyon of the Gunnison National Park
Mammal,Preble's Shrew,5,Soricomorpha,Black Canyon of the Gunnison National Park
Mammal,Mountain Lion,1,Carnivora,Canyonlands National Park
Mammal,Pronghorn,5,Artiodactyla,Bryce Canyon National Park
Mammal,Mountain Goat,5,Artiodactyla,Bryce Canyon National Park
Mammal,Bighorn Sheep,5,Artiodactyla,Bryce Canyon National Park
Mammal,Elk,5,Artiodactyla,Bryce Canyon National Park
Mammal,Mule Deer,5,Artiodactyla,Bryce Canyon National Park
Mammal,Coyote,5,Carnivora,Bryce Canyon National Park
Mammal,Common Gray Fox,5,Carnivora,Bryce Canyon National Park
Mammal,Kit Fox,5,Carnivora,Bryce Canyon National Park
Mammal,Red Fox,5,Carnivora,Bryce Canyon National Park
Mammal,Canada Lynx,5,Carnivora,Bryce Canyon National Park
Mammal,Bobcat,5,Carnivora,Bryce Canyon National Park
Mammal,Mountain Lion,5,Carnivora,Bryce Canyon National Park
Mammal,Striped Skunk,5,Carnivora,Bryce Canyon National Park
Mammal,Western Spotted Skunk,5,Carnivora,Bryce Canyon National Park
Mammal,Ermine,5,Carnivora,Bryce Canyon National Park
Mammal,Long-Tailed Weasel,5,Carnivora,Bryce Canyon National Park
Mammal,American Badger,5,Carnivora,Bryce Canyon National Park
Mammal,Ringtail,5,Carnivora,Bryce Canyon National Park
Mammal,Northern Raccoon,5,Carnivora,Bryce Canyon National Park
Mammal,American Black Bear,5,Carnivora,Bryce Canyon National Park
Mammal,Big Free-Tailed Bat,5,Chiroptera,Bryce Canyon National Park
Mammal,Brazilian Free-Tailed Bat,5,Chiroptera,Bryce Canyon National Park
Mammal,Pallid Bat,2,Chiroptera,Bryce Canyon National Park
Mammal,Townsend's Big-Eared Bat,5,Chiroptera,Bryce Canyon National Park
